,Name,Online_order,Book_table,Rate,Votes,Dish_liked,Approx_cost(for two people)
1214,Infinitea Tea Room & Tea Store,1,Yes,4.3 out of 5,858,"Tea, Momos, Tiramisu, Sandwiches, Pesto Pasta, Sandwich, Chips","1,000"
1215,Mudpipe Cafe,1,No,4.2 out of 5,739,"Sandwiches, Lemonade, Nachos, Mozzarella Sticks, Fries, Pasta, Pizza",750
1216,eat.fit,1,Yes,4.1 out of 5,94,Biryani,300
1217,Kerala Pavilion,1,No,3.9 out of 5,302,"Fish Curry, Roast Chicken, Kerala Parotta, Appam, Mutton Pepper Fry, Sea Food, Ghee Rice",300
1218,Donne Biriyani House,1,No,4.0 out of 5,473,"Pepper Chicken, Chicken Biryani, Mutton Biryani",300
1219,Leon Grill,1,No,4.3 out of 5,284,"Burgers, Fries, Peri Peri Chicken, Nachos, Wings, Rolls, Tandoori Burger",500
1220,FreshMenu,1,No,3.8 out of 5,377,"Salads, Burgers, Salad, Potato Wedges, Pizza, Noodles, Fish",450
1221,Sri Ganesh Juice Junction,1,No,4.1 out of 5,210,"Sandwiches, Sandwich, Omelette, Cheese Maggi",150
1222,Burger King,1,No,4.0 out of 5,1393,"Burgers, Tandoori Grill Burger, Mango Shake, Cheesy Fries, Whopper Burger, Chicken Keema Burger, Chicken Crisp Burger",600
1223,Shanmukha,1,No,3.9 out of 5,142,"Fish, Chicken Curry, Paneer Biryani, Baby Corn Masala",800
1224,Dunkin' Donuts,1,No,4.1 out of 5,1079,"Burgers, Coffee, Chocolate Donut, Bagel, Chocolate Drink, Dunkaccinos, Hot Chocolate",550
1225,Khan Saheb Grills and Rolls,1,No,4.0 out of 5,1072,"Rolls, Beda Roti, Veggie Roll, Chicken Seekh Roll, Chicken Kalimirch, Kathi Roll, Mutton Kebab Roll",350
1226,Pathaan Sir,1,No,3.8 out of 5,88,"Rolls, Fries, Egg Roll",250
1227,BOX8- Desi Meals,1,No,4.3 out of 5,290,"Dal Makhani, Chicken Curry, Sandwiches, Paratha, Butter Chicken",500
1228,Punjabi Dhaba,1,No,3.5 out of 5,350,"Butter Chicken, Paratha",350
1229,Warm Oven,1,No,4.3 out of 5,889,"Chocolate Truffle Cake, Eggless Cake, Cup Cake, Chocolate Dreamcake, Photo Cake, Fruit Cake, Litchi Cake",500
1230,Firangi Bake,1,No,3.9 out of 5,59,Lasagne,600
1231,Behrouz Biryani,1,No,4.2 out of 5,128,"Raita, Gosht Dum Biryani, Dum Ghost Biryani, Paneer Biryani",650
1232,Corner House Ice Cream,1,No,4.4 out of 5,633,"Hot Chocolate Fudge, Chocolate Mousse, Ice Cream Strawberry, Vanilla Ice Cream, Thick Shakes, Fruit Salad, Fudge Cake",400
1233,Chai Point,1,No,4.2 out of 5,176,"Ginger Tea, Maggi, Ice Tea, Ginger Chai, Samosa, Lemon Tea, Vada Pav",250
1234,Empire Restaurant,1,No,4.0 out of 5,1864,"Faluda, Ghee Rice, Biryani, Barbeque Chicken, Pulpy Grape Juice, Chicken Kebab, Shawarma",750
1235,Tadkawala,1,No,3.5 out of 5,68,Veg Thali,200
1236,Pizza Hut,1,No,3.8 out of 5,236,"Garlic Bread, Paneer Pizza, Supreme Pizza, Tandoori Paneer",750
1237,Roti Shotti,1,No,3.8 out of 5,61,Dal Fry,400
1238,Nando's,1,No,4.3 out of 5,1217,"Peri Peri Chicken, Peri Peri Fries, Peri Peri Drizzle, Burgers, Chicken Breast Burger, Potato Wedges, Murgh Platter","1,200"
1239,KFC,1,No,3.6 out of 5,206,"Burgers, Crispy Chicken, Chicken Zinger Burger, French Fries, Chicken Fries, Hot Wings",400
1240,KC Das,1,No,3.9 out of 5,370,"Rasgulla, Luchi, Samosa, Radhaballavi, Rasmalai, Kheer Kadam, Chamcham",200
1241,Ovenstory Pizza,1,No,3.8 out of 5,97,Pizza,750
1242,M.M.A Kababs Rolls & Biryani Center,1,No,2.7 out of 5,67,"Rolls, Chicken Grill",400
1243,Richie Rich,1,No,4.0 out of 5,624,"Tawa Pulav, Faluda, Pav Bhaji, Ice Cream Sundae, Brownie, Hot Chocolate Fudge, Fruit Salad",450
1244,Belgian Waffle Factory,1,No,4.9 out of 5,1746,"Coffee, Berryblast, Nachos, Chocolate Waffles, Nutella Waffle, Chocolate Overload, Sandwiches",400
1245,No 10 Fort Cochin,1,Yes,3.8 out of 5,194,"Fish, Thali, Egg Roast, Buttermilk, Kerala Parotta, Paratha, Kadala Curry",800
1246,Shanthi Sagar,1,No,4.1 out of 5,204,"Coffee, Roti, Vada Pav",250
1247,Savoury Restaurant,1,No,4.1 out of 5,1443,"Biryani, Haleem, Jumbo Shawarma, Kerala Parotta, Barbeque Chicken, Mutton Raan Biriyani, Dum Aloo",800
1248,Faasos,1,No,3.8 out of 5,101,"Rolls, Veggie Wrap, Biryani, Paratha, Cheesy Chicken Wrap",500
1249,Karama Restaurant,1,Yes,4.4 out of 5,2860,"Salads, Veg Pulao, Sea Food, Popcorn Chicken, Karachi Naan, Rabri, Butter Chicken",750
1250,The Mughal's,1,No,3.7 out of 5,89,"Chicken Biryani, Lemon Chicken Roll",400
1251,Potful,1,No,4.1 out of 5,1125,"Phirni, Chicken Roll, Hyderabadi Biryani, Mutton Biryani, Lucknowi Biryani, Galauti Kebab, Gulab Jamun",650
1252,KKR FOODIES,1,Yes,3.1 out of 5,58,Biryani,400
1253,Meghana Foods,1,Yes,4.2 out of 5,1746,"Chicken Boneless Biryani, Paneer Biryani, Andhra Style Biryani, Tandoori Chicken, Prawn Biryani, Raita, Hyderabadi Biryani",750
1254,Xpress Biryani,1,No,4.3 out of 5,146,"Butter Chicken Biryani, Gulab Jamun, Chicken Tikka Biryani, Dal Bukhara, Hara Bhara Kebab, Mutton Keema, Masala Biryani",650
1255,Soda Bottle Opener Wala,1,Yes,4.4 out of 5,3651,"Pancakes, Cocktails, Berry Pulao, Kanda Bhajiya, Brownie Chocolate, Crispy Okra, Kulfi","1,300"
1256,Smoke House Deli,1,No,4.6 out of 5,2490,"Burgers, Cocktails, Salads, Veg Burger, Peri Chicken, Pasta Alfredo, Hazelnut Mousse Flan","1,600"
1257,Thai Chy,1,Yes,4.3 out of 5,375,"Noodles, Watermelon Mint Mojito, Rendang Curry, Chicken Dim Sum, Laksa, Dimsum Platter, Spinach Corn Cheese","1,200"
1258,Cafe Azzure,1,Yes,4.3 out of 5,2664,"Pasta, Wedges, Pizza, Nachos, Mocktails, Peri Peri Fish, Burgers","1,200"
1259,Tata Cha,1,No,3.9 out of 5,67,"Chai, Ginger Tea, Poha, Coffee, Bun Maskas",500
1260,Krispy Kreme,1,No,4.0 out of 5,47,"Donut, Coffee",300
1261,Healthie,1,No,3.9 out of 5,189,"Chicken Salad, Chicken Grill, Salads, Palak Chicken, Chicken Sandwich",600
1262,XO Belgian Waffle,1,No,4.4 out of 5,215,"Belgian Waffles, Hot Chocolate, Salted Caramel, Nutella Waffle",450
1263,Mani's Dum Biryani,1,No,4.0 out of 5,175,"Chicken Biryani, Vegetable Biryani, Raita",750
1264,Biryani Trip,1,No,NEW,0,"Raita, Chicken Biryani",400
1265,Hammered,1,Yes,4.7 out of 5,4657,"Crispy Corn, Sangria, Chicken Satay, Masala Fries, Wood Fire Pizza, Pesto Pasta, Cocktails","1,300"
1266,Subway,1,No,3.9 out of 5,107,"Salad, Salads, Sandwiches",600
1267,Kaati Zone,1,No,3.1 out of 5,163,"Rolls, Chicken Tikka Roll, Cheese Roll",350
1268,Glen's Bakehouse,1,No,4.4 out of 5,1087,"Pizza, Coffee, Pasta, Tiramisu, Cheesecake, Hot Chocolate, Pie",600
1269,Swathi Deluxe Restaurant,1,No,3.0 out of 5,74,"Biryani, Chicken Kebab, Andhra Meal, Lime Soda",500
1270,Suryawanshi,1,No,4.2 out of 5,444,"Thali, Misal Pav, Pandhra Rassa, Roti, Chicken Kolhapuri, Tamda Rassa, Kadhi",700
1271,Portland Steakhouse & Cafe,1,Yes,4.3 out of 5,2040,"Spaghetti, Beef Steak, Bbq Chicken Pizza, Burgers, Apple Pie, Ice Tea, Salads","1,500"
1272,WOW! Momo,1,No,3.7 out of 5,123,"Burgers, Chocolate Momos, Noodles, Cheese Momos",400
1273,Keventers,1,No,4.0 out of 5,568,"Thick Shakes, Choco Chip Shake, Choco Hazelnut, Chocolate Hazelnut Shake, Oreo Shake, Kit Kat Shake, Butterscotch Shake",400
1274,Utse Kitchen,1,No,4.2 out of 5,172,"Momos, Thukpa, Noodles, Nepali Thali, Chicken Momo, Chilli Momo",800
1275,Alampur Bar And Restaurant,1,No,3.7 out of 5,42,"Thali, Chicken Biryani",900
1276,SGS Non Veg - Gundu Pulav,1,No,3.9 out of 5,55,Chilli Chicken,400
1277,Hotel Fanoos,1,No,4.0 out of 5,787,"Rolls, Shawarma, Beef Roll, Chicken Shawarama, Beef Shwarma, Haleem, Chicken Roll",400
1278,Laughing Llama Gastropub,1,Yes,4.3 out of 5,393,"Pancakes, Cocktails, Biryani, Draught Beer, Long Island Iced Tea, Nachos, Mocktails","1,600"
1279,Imperial Restaurant,1,No,3.9 out of 5,238,"Ghee Rice, Chicken Grill, Butter Chicken, Chicken Tikka Masala, Chicken Curry, Roti, Chicken Kebab",800
1280,Oregano Pizzeria,1,No,3.5 out of 5,60,"Pizza, Pasta, Burgers, Lasagne, Masala Garlic Bread",300
1281,The Good Grain,1,No,4.1 out of 5,54,"Curd Rice, Biryani",400
1282,Pasta Street,1,Yes,4.5 out of 5,1621,"Pasta, Pizza, Garlic Bread, Wine, Salad, Salads, Ravioli","1,300"
1283,Cita Pani,1,Yes,3.9 out of 5,54,"Peri Peri Chicken, Shawarma, Biryani, Rolls",350
1284,The Waffle Press,1,No,4.3 out of 5,116,"Waffles, Liege Waffle, Ice Cream Sandwiches, Salted Caramel Ice Cream, Ice Cream Sandwich",400
1285,Delicacy,1,No,3.9 out of 5,306,"Momos, Noodles, Chilli Chicken, Spring Roll, Clear Chicken Soup, Crispy Noodle, Mixed Fried Rice",500
1286,Berrylicious Cafe,1,No,4.1 out of 5,125,"Waffles, Sandwiches, Nachos, Burgers, Chicken Keema Pizza, Penne Pasta, Smoothie Bowl",900
1287,Mamagoto,1,Yes,4.4 out of 5,2560,"Noodles, Cocktails, Spicy Chicken Bangkok Bowl, Tempura Prawns, Pad Thai, Dumplings, Khao Suey","1,600"
1288,Atty's Bakery,1,No,4.0 out of 5,73,"Gooey Brownie, Brownie Chocolate, Chocolate Ganache, Garlic Bread, Salted Caramel Brownie, Plum Cake, Chocolate Cake",250
1289,Eden Park,1,Yes,4.1 out of 5,612,"Pasta, Bamboo Biryani, Noodles, Chicken Guntur, Andhra Meal, Andhra Style Biryani, Babycorn Manchurian","1,100"
1290,Kanti Sweets,1,No,3.9 out of 5,100,"Chaat, Sandwiches, Rasmalai",400
1291,Rahhams,1,No,3.9 out of 5,847,"Mutton Biryani, Shawarma, Bheja Fry, Pahari Chicken, Mutton Chops, Butter Chicken, Butter Naan",700
1292,Marzipan Cafe & Bakery,1,No,4.2 out of 5,432,"Coffee, Cheesecake, Chicken Baguette, Pasta, Mudcake, Wedges, Hot Chocolate",700
1293,Bozo's Yum Yums,1,No,4.0 out of 5,90,"Burgers, Beef Burger, Sandwiches, Fries, Bacon Burger",650
1294,Skoolroom,1,No,4.3 out of 5,570,"Chocolate Overload, Burgers, Pasta, Peri Peri Chicken Pizza, Peri Peri Chicken Burger, Momos, Freak Shake",700
1295,Pind Balluchi,1,Yes,4.0 out of 5,1021,"Palak Paneer, Mango Lassi, Panner Tikka, Veg Platter, Dal Makhani, Chicken Rara, Malai Tikka",700
1296,Cream Chemistry,1,No,3.9 out of 5,148,"Rolls, Ice Cream Roll",500
1297,The Brekkie Shop,1,No,3.5 out of 5,64,"Pasta, Fruit Parfait",300
1298,Hotel Ramprasad,1,No,4.2 out of 5,93,"Filter Coffee, Kesari Bath, Curd Rice, Idli Vada, Crispy Masala Dosa, Masala Tea, Thick Coconut Chutney",300
1299,Anna Kuteera,1,No,3.8 out of 5,62,"Panner Tikka, Coffee, Vada, Idli",400
1300,Lassi Shop,1,No,3.8 out of 5,83,"Lassi, Faluda",100
1301,Kitchen of Joy,1,No,4.1 out of 5,569,"Rolls, Egg Roll, Chai, Ginger Tea, Biryani, Rasgulla, Luchi",400
1302,Haji Ali Juice Centre,1,No,4.0 out of 5,78,"Sandwiches, Rose Faluda, Pizza, Custard Apple Cream, Pav Bhaji",350
1303,Domino's Pizza,1,No,3.9 out of 5,117,"Pizza, Garlic Bread",800
1304,Mama Mia!,1,No,4.3 out of 5,422,"Gelato, Strawberry Sundae, Hot Chocolate, Brownie, Wedges, Peri Peri Fries, Thick Shakes",400
1305,Shaadi Ki Biryani,1,No,2.8 out of 5,296,"Mutton Biryani, Brinjal Curry, Chicken Biryani, Kheer, Hyderabadi Biryani, Raita, Kebab Platter",600
1306,Shiro,1,Yes,4.4 out of 5,2229,"Sushi, Dumplings, Sea Food, Chocolate Volcano, Lamb, Sunday Brunch, Chicken Yakitori","3,000"
1307,Thai House,1,No,4.2 out of 5,127,"Tom Yum Soup, Fish, Salad",700
1308,InnerChef,1,No,3.7 out of 5,270,"Salads, Pasta, Dal Makhani, Paratha, Chole, Red Velvet Cake, Butter Chicken",500
1309,Steaming Mugs,1,No,3.9 out of 5,241,"Fries, Oreo Shake, Pasta Arrabiata",700
1310,Church Street Social,1,No,4.3 out of 5,7544,"Paneer Biryani, Cocktails, Mocktails, Nachos, Taco Soup, Pork Ribs, Hot Dog","1,500"
1311,Mad Over Donuts,1,No,3.9 out of 5,148,Donut,450
1312,Sheesh Kebab,1,No,4.1 out of 5,68,"Naan, Mutton Kebab, Memon Mutton Biryani, Mutton Keema",700
1313,Just Shawarma,1,No,3.8 out of 5,110,"Rolls, Whole Meat Shawarma",300
1314,The Belgian Waffle Co.,1,No,4.0 out of 5,71,"Waffles, Pancakes",400
1315,Bangalore Masala House,1,No,4.2 out of 5,255,"Peri Peri Chicken, Shikanji, Peri Peri Pizza, Burgers, Steak, Bun Maskas, Pasta",500
1316,Sweet Truth,1,No,4.2 out of 5,50,"Cheesecake, Chocolate Fantasy, Chocolate Cake, Chocolate Decadence, Brownie, Red Velvet, Chocolava Cake",500
1317,Green Theory,1,Yes,4.2 out of 5,2840,"Potato Skins, Pizza, Mushroom Soup, Pasta, Banana Smoothie, Almond Soup, Kiwi Lemonade",800
1318,Srinidhi Sagar Food Line,1,No,3.7 out of 5,129,"Vada, Masala Dosa, Filter Coffee",40
1319,Pabrai's Fresh & Naturelle Icecreams,1,No,4.2 out of 5,131,"Apple Pie, Mascarpone Cheese, Nolen Gurer Ice Cream, Paan Ice Cream, Nolen Gur, Gur Ice Cream, Salted Caramel",180
1320,Ibaco,1,No,4.0 out of 5,289,"Icecream Cake, Almond Crunch, Cream Cake, Belgian Chocoholic",300
1321,The Egg Factory,1,No,4.2 out of 5,1764,"Omelette, French Toast, Bun Masala, Pasta, Egg Pav Bhaji, Fajitas, Paneer Wrap",750
1322,Firewood Biryani,1,No,3.9 out of 5,454,"Hariyali Chicken, Rice Kheer, Chicken Kebab, Chicken Biryani, Firewood Biryani, Mutton Biryani, Badam Phirni",400
1323,Sweet Chariot,1,No,3.8 out of 5,111,"Chicken Lasagne, Chocolate Cake, Mushroom Quiche, Sandwiches, Pizza, Steak",500
1324,Venus Biryani,1,No,3.0 out of 5,144,Dum Biryani,200
1325,Kartik's Mithai Shoppe,1,No,4.1 out of 5,110,"Chaat, Panipuri, Chole Bhature, Rasmalai, Chhole Bhature, Sev Puri, Samosa",150
1326,Desi Deck,1,Yes,3.9 out of 5,96,"Balti Gosht, Cocktails, Dal Makhani","1,300"
1327,Hoppipola,1,No,4.3 out of 5,1703,"Masala Peanuts, Cocktails, Paratha, Pizza, Pasta, Burgers, Brownie","1,300"
1328,Chichaba's Taj,1,No,3.9 out of 5,442,"Mutton Biryani, Paya Soup, Bheja Masala, Phirni, Brain Fry, Chicken Kebab, Chicken Grill",600
1329,99 Pancakes,1,No,4.1 out of 5,41,Nutella Pancakes,150
1330,Beijing Bites,1,No,3.8 out of 5,262,"Manchurian, Noodles, Basil Chicken, Chop Suey, Triple Schezwan, Dragon Chicken, Schezwan Rice",850
1331,Kabab Korner,1,No,3.9 out of 5,205,"Rolls, Biryani, Chilli Chicken, Seekh Kebab, Rumali Roti, Burgers, Butter Naan",500
1332,Foodhall,1,No,4.0 out of 5,113,"Pasta, Salads, Sandwich, Coffee, Tea, Sandwiches","1,000"
1333,Ciclo Cafe,1,No,4.3 out of 5,1283,"Pizza, Cheesy Fries, Tiramisu, Ravioli Pasta, Salads, Cocktails, Burgers","1,000"
1334,Wolf'ish,1,No,4.1 out of 5,459,"Burgers, Fries, Mojito, Bbq Chicken Pizza, Pasta, Potato Wedges, Peri Peri Chicken",700
1335,Alibaba Cafe and Restaurant,1,No,3.9 out of 5,450,"Biryani, Irani Chai, Tea, Lemonade, Mezze Platter, Shawarma, Plain Rice",700
1336,Amande Patisserie,1,No,4.2 out of 5,231,"Macaroon, Fruit Tart, Opera Cake, Belgian Dark Chocolate, Orange Tart, Eclair, Chocolate Mousse",300
1337,Qissa Khawani,1,No,4.4 out of 5,319,"Lassi, Paratha, Chicken Tikka, Mutton Pulao, Dal Makhani, Garlic Naan, Kheer",800
1338,Ayda Persian Kitchen,1,No,3.9 out of 5,224,"Roti, Naan, Butter Chicken, Biryani, Saffron Rice, Mutton Kebab, Lassi",950
1339,Tewari Bros Mithai Shoppie,1,No,3.8 out of 5,59,"Dhokla, Raj Kachori, Rabri",300
1340,Cafe Coffee Day,1,No,3.3 out of 5,65,Cappuccino,900
1341,Vinny's,1,No,3.9 out of 5,206,"Pizza, Pasta, Mozzarella Sticks, Mocktails, Tiramisu, Fries, Salad",800
1342,Sagar Delicacy,1,No,3.9 out of 5,87,"Handi Biryani, Sandwich",500
1343,Carnival de Goa,1,Yes,4.2 out of 5,980,"Sea Food, Spicy Crab Soup, Cocktails, Squid Fry, Prawn Curry, Lobster, Fish Curry","1,000"
1344,McDonald's,1,No,3.7 out of 5,184,"Burgers, Mc Spicy Chicken, Chicken Burger, Maharaja Mac",500
1345,Northern Route,1,No,4.1 out of 5,159,"Paratha, Paneer Pakora, Chole Bhature, Rajma Chawal, Chaach, Lassi, Buttermilk",300
1346,The Open Box,1,Yes,4.2 out of 5,2270,"Mocktails, Cocktails, Pizza, Butter Chicken Burger, Paan Ice Cream, Sangria, Margarita","1,400"
1347,Double Decker,0,Yes,4.3 out of 5,2651,"Bbq Pizza, Pasta, Sangria, Cocktails, Mocktails, Virgin Mojito, Potato Wedges","1,300"
1348,Toscano,1,Yes,4.4 out of 5,1840,"Pizza, Pepperoni, Wine, Salads, Tiramisu, Chicken Bruschetta, Sangria","1,500"
1349,Foreign CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,1,No,3.1 out of 5,54,"Burgers, Pasta, Sandwiches",500
1350,Dakshin Biryani & Tiffin,1,No,3.4 out of 5,334,"Biryani, Multi Grain Dosa, Kheer, Egg Bhurji, Sooji Halwa, Tamarind Chicken, Coffee",550
1351,Pizza Stop,1,No,3.5 out of 5,73,"Pizza, Pasta, Garlic Bread, Nachos",600
1352,Chocolate D'Luxe,1,No,4.1 out of 5,183,"Coffee, Sandwiches, Hot Chocolate, Tiramisu, Latte, Cup Cake, Brownie",550
1353,NoLimmits Lounge and Club,1,Yes,4.0 out of 5,2103,"Salads, Chicken Bbq Wings, Sandwiches, Pasta, Biryani, Pizza, Popcorn","2,000"
1354,Mangalore pearl - Seafood Restaurant,1,No,4.3 out of 5,94,"Sea Food, Murgh Ghee Roast, Fish Fry, Neer Dosa, Bread Pudding, Caramel Custard, Crab Soup",550
1355,20 Feet High,1,Yes,4.0 out of 5,932,"Burgers, Mocktails, Pasta, Cocktails, Beef Steak, Lunch Buffet, Chicken Steak","1,000"
1356,Bean Flickers,1,No,4.3 out of 5,392,"Burgers, Coffee, Mutton Burger, Sandwiches, Hot Chocolate, Fries, Sandwich",700
1357,7 Plates,1,No,3.9 out of 5,169,"Rolls, Biryani, Butter Chicken, Chicken Manchurian Roll",600
1358,Munchies,1,No,3.9 out of 5,64,"Burgers, Sandwiches, Momos, Chicken Seekh Roll, Sandwich",250
1359,Kobe Sizzlers,1,No,4.1 out of 5,1117,"Potato Mash, Sizzler Brownie, Steak, Pasta, Caramel Custard, Spicy Chicken Sizzler, Spaghetti","1,500"
1360,Cafe Idly,1,No,3.7 out of 5,81,"Coffee, Idli, Masala Dosa, Burgers",200
1361,Airlines Hotel,1,No,4.0 out of 5,867,"Chole, Tea, Filter Coffee, Vada, Upma, Butter Masala Dosa, Idli",400
1362,Pai Vihar,1,No,2.8 out of 5,54,"Masala Dosa, Coffee",400
1363,Crunch Pizzas,1,No,2.9 out of 5,330,"Thin Crust Pizza, Pepperoni, Pie",600
1364,Eat At Nite,1,No,3.2 out of 5,56,"Fried Rice, Biryani",400
1365,Sri Udupi Park,1,No,3.8 out of 5,106,"Vada, Idli, Kharabath, Noodles, Filter Coffee",200
1366,Chantilly,1,No,4.1 out of 5,115,"Cheesecake, Sandwiches, Tiramisu, Coffee, Hot Chocolate, Red Velvet Cake, Brownie",450
1367,Cafe Terra,1,No,4.2 out of 5,391,"English Breakfast, Waffles, Chicken Lasagne, Pasta, Watermelon Juice, Momos, Thukpa",500
1368,Charminar Kabab Paradise,1,No,4.0 out of 5,104,"Rolls, Biryani, Chicken Roll, Chicken Kebab, Mutton Seekh Roll, Keema Roti",500
1369,Cream Stone,1,No,4.0 out of 5,78,"Nutella Brownie, Ferrero Rocher",500
1370,EatWater,1,No,4.2 out of 5,121,"Saffron Pilaf, Banana Chips, Cheesecake, Tender Coconut Ice Cream, Paratha, Begun Pora, Mocha Chingri","1,000"
1371,Step Right Up,1,No,4.1 out of 5,152,"Burgers, Peri Peri Fries, Exotic Pizza, Sandwiches, Veggie Pizza, White Sauce Pasta, French Fries",300
1372,Zaks Mediterranean Cuisine,1,No,3.9 out of 5,256,"Biryani, Shawarma, Kunafa, Pita Bread, Fattoush Salad",700
1373,The Chariot,1,No,2.9 out of 5,50,"Masala Dosa, Panneer Butter Masala, Thali",350
1374,The J,1,No,4.0 out of 5,134,"Fried Cheese, French Fries, Maggi, Thick Shakes, Chilli Cheese Fries, Tea",450
1375,ZOROY Luxury Chocolate,1,No,4.0 out of 5,68,Hot Chocolate,250
1376,Kanteen 038,1,No,3.9 out of 5,51,"Chai, Maggi, English Breakfast",200
1377,Donne Biriyani Mane,1,No,3.5 out of 5,62,"Donne Biryani, Mutton Biryani",400
1378,A2B - Adyar Ananda Bhavan,1,No,3.9 out of 5,184,"Coffee, Roti, Pongal, Idli, Ghee Masala Dosa, Thali, Chaat",400
1379,Le Rock,1,No,4.0 out of 5,1203,"Cocktails, Pizza, Murgh Platter, Draught Beer, Chicken Wings, Veg Platter, Fries","2,000"
1380,Hotel Chandrika,1,No,3.8 out of 5,208,"Thali, Filter Coffee, Vada, Rava Idli, Masala Dosa, Stuffed Kulcha, Naan",400
1381,Gowdru Hotel,1,No,3.9 out of 5,200,"Mutton Chops, Mutton Fry, Brain Fry, Mutton Masala, Mutton Curry, Donne Biryani, Chicken Curry",400
1382,Cafe Braqa,1,Yes,4.0 out of 5,144,"Ginger Tea, Cup Cake, Sandwich, Pasta, Cappuccino, Pizza, Cheese Sticks",700
1383,Naachiyar's,1,No,3.9 out of 5,117,"Crab Soup, Raita, Kozhi Biryani, Mutton Biryani",600
1384,BLOW,1,Yes,4.2 out of 5,937,"Mocktails, Pasta, Burgers, Sandwich, Salsa, Salad, Hazelnut Frappe",750
1385,Cobaja,1,Yes,4.3 out of 5,61,"Badam Milk, Cocktails, Mutton Liver Fry, Paan Mojito, Veg Thali, Mocktails, Neer Dosa",700
1386,Brownie Heaven,1,No,4.2 out of 5,33,"Filter Coffee, Triple Chocolate, Brownie Chocolate, Vanilla Ice Cream, Brownie Shake, Tiramisu, Chocolate Shake",300
1387,The Bundle Co.,1,No,4.4 out of 5,222,"Burgers, Salad, Mocktails, Pasta Arrabiata, Fries, Nutella Cheesecake, Teriyaki Chicken Wings",700
1388,The Grill House,1,Yes,4.1 out of 5,765,"Steak, Burgers, Cocktails, Beer, Buffalo Wings, Pasta, Chicken Stroganoff","1,200"
1389,Mountain Spice,1,No,3.9 out of 5,186,"Momos, Chicken Lollipop, Chicken Momo, Noodles, Chicken Thukpa",400
1390,Petoo,0,No,3.7 out of 5,32,Biryani,800
1391,Kumbakonam Degree Coffee,1,No,3.8 out of 5,66,"Filter Coffee, Mini Idlis",200
1392,C Sharp Kitchen,1,No,3.4 out of 5,50,"Paratha, Tea, Pasta, Omelette, Rolls, Sandwich",600
1393,Nossa Goa,1,Yes,4.1 out of 5,294,"Breakfast Platter, Roast Chicken, Sea Food, Calamari, Waffles, Chorizo Pav, Prawn Curry","1,000"
1394,Shyvan Restaurant,1,No,3.6 out of 5,82,"Mutton Biryani, Noodles, Butter Chicken, Naan, Panneer Butter Masala",500
1395,Red Lantern,1,No,3.7 out of 5,162,"Noodles, Phad Thai, Sweet Corn Soup, Chop Suey",700
1396,Chung Wah Express,1,No,2.8 out of 5,94,"Noodles, Kung Pao Vegetables, Sweet Corn Soup, Chowmein, Prawn",600
1397,Ujwal Restaurant,1,No,3.9 out of 5,134,"Tender Coconut Chicken, Sea Food, Paneer Pakora, Chicken Biryani, Kori Roti, Fish Fry, Beer",550
1398,GMT - Gelateria Montecatini Terme,1,No,4.4 out of 5,69,"Irish Coffee, Gelato Ice Cream, Italian Icecream, Chocolate Cake",300
1399,Gokul Kuteera,1,No,3.9 out of 5,257,"Manchow Soup, Spring Roll, Masala Papad, Curd Rice, Malai Kofta, Roti, Thali",650
1400,The Souk,1,No,3.7 out of 5,66,"Mediterranean Platter, Brownie, Pasta, Burgers, Cheesy Garlic Bread, Steak",800
1401,Tea Journey,1,No,3.8 out of 5,71,"Ginger Tea, Chai, Pasta, Maggi, Vada Pav, Pizza, Sandwich",500
1402,Baba Da Dhaba,0,Yes,4.1 out of 5,373,"Butter Chicken, Dal Makhani, Chicken Curry, Tandoori Chicken, Mix Veg, Biryani, Naan",650
1403,Ging - Royal Orchid Central,1,Yes,4.3 out of 5,225,"Paneer Satay, Beer, Creme Brulee, Crispy Prawns","2,000"
1404,Masala Central,1,No,3.7 out of 5,74,"Sandwiches, Tea, Masala Chai, Pasta, Maggi, Sandwich, Chicken Burger",300
1405,Ta'aam,1,No,4.1 out of 5,402,"Laham Mandi, Mutton Chops, Biryani, Mutton Soup, Naan, Paneer Tikka, Jeera Rice",750
1406,Coastal Delight,1,No,4.1 out of 5,198,"Sea Food, Neer Dosa, Murgh Ghee Roast, Chicken Sukha, Chicken Curry, Prawn Ghee Roast, Fish Fry",650
1407,Taipan,1,No,3.5 out of 5,126,"Noodles, Dragon Chicken, Chop Suey",700
1408,Gelato Italiano,1,No,3.0 out of 5,40,"Belgian Chocolate, Waffle Cone, Tiramisu",200
1409,OCEA HOTEL,1,No,3.7 out of 5,279,"Sea Food, Fish, Murgh Ghee Roast, Crabmeat Soup, Jeera Rice, Prawn, Chicken Grill",800
1410,Vietnamese Kitchen,1,Yes,4.1 out of 5,523,"Pho, Pad Thai, Jasmine Tea, Spring Roll, Chocolate Shake, Thai Green Curry, Momos",800
1411,Troll,1,No,3.8 out of 5,102,"Ice Cream Roll, Oreo Ice Cream, Rolls, Chocolate Peanut Butter, Nutella Cookie",300
1412,Bhavani Sri,1,No,3.0 out of 5,110,Chicken Biryani,700
1413,Cafe Cerrise,1,No,3.8 out of 5,96,"Bannoffee Pie, Pasta, Sandwiches, Salsa, Sandwich, Salads, Pita Bread",600
